id,age,job,marital,education,default_credit,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
1,59,admin.,married,secondary,False,2343,True,False,unknown,5,may,1042,1,-1,0,unknown,True
2,56,admin.,married,secondary,False,45,False,False,unknown,5,may,1467,1,-1,0,unknown,True
3,41,technician,married,secondary,False,1270,True,False,unknown,5,may,1389,1,-1,0,unknown,True
4,55,services,married,secondary,False,2476,True,False,unknown,5,may,579,1,-1,0,unknown,True
5,54,admin.,married,tertiary,False,184,False,False,unknown,5,may,673,2,-1,0,unknown,True
6,42,management,single,tertiary,False,0,True,True,unknown,5,may,562,2,-1,0,unknown,True
7,56,management,married,tertiary,False,830,True,True,unknown,6,may,1201,1,-1,0,unknown,True
8,60,retired,divorced,secondary,False,545,True,False,unknown,6,may,1030,1,-1,0,unknown,True
9,37,technician,married,secondary,False,1,True,False,unknown,6,may,608,1,-1,0,unknown,True
10,28,services,single,secondary,False,5090,True,False,unknown,6,may,1297,3,-1,0,unknown,True
11,38,admin.,single,secondary,False,100,True,False,unknown,7,may,786,1,-1,0,unknown,True
12,30,blue-collar,married,secondary,False,309,True,False,unknown,7,may,1574,2,-1,0,unknown,True
13,29,management,married,tertiary,False,199,True,True,unknown,7,may,1689,4,-1,0,unknown,True
14,46,blue-collar,single,tertiary,False,460,True,False,unknown,7,may,1102,2,-1,0,unknown,True
15,31,technician,single,tertiary,False,703,True,False,unknown,8,may,943,2,-1,0,unknown,True
16,35,management,divorced,tertiary,False,3837,True,False,unknown,8,may,1084,1,-1,0,unknown,True
17,32,blue-collar,single,primary,False,611,True,False,unknown,8,may,541,3,-1,0,unknown,True
18,49,services,married,secondary,False,-8,True,False,unknown,8,may,1119,1,-1,0,unknown,True
19,41,admin.,married,secondary,False,55,True,False,unknown,8,may,1120,2,-1,0,unknown,True
20,49,admin.,divorced,secondary,False,168,True,True,unknown,8,may,513,1,-1,0,unknown,True
21,28,admin.,divorced,secondary,False,785,True,False,unknown,8,may,442,2,-1,0,unknown,True
22,43,management,single,tertiary,False,2067,True,False,unknown,8,may,756,1,-1,0,unknown,True
23,43,management,divorced,tertiary,False,388,True,False,unknown,8,may,2087,2,-1,0,unknown,True
24,43,blue-collar,married,primary,False,-192,True,False,unknown,8,may,1120,2,-1,0,unknown,True
25,37,unemployed,single,secondary,False,381,True,False,unknown,8,may,985,2,-1,0,unknown,True
26,35,blue-collar,single,secondary,False,40,True,False,unknown,9,may,617,4,-1,0,unknown,True
27,31,technician,single,tertiary,False,22,True,False,unknown,9,may,483,3,-1,0,unknown,True
28,43,blue-collar,single,secondary,False,3,True,False,unknown,9,may,929,3,-1,0,unknown,True
29,31,admin.,married,secondary,False,307,True,False,unknown,9,may,538,1,-1,0,unknown,True
30,28,blue-collar,single,secondary,False,759,True,False,unknown,9,may,710,1,-1,0,unknown,True
31,32,blue-collar,married,secondary,True,-1,True,False,unknown,9,may,653,1,-1,0,unknown,True
32,60,technician,married,primary,False,65,True,False,unknown,9,may,1028,2,-1,0,unknown,True
33,26,blue-collar,single,secondary,False,82,True,False,unknown,9,may,654,1,-1,0,unknown,True
34,40,blue-collar,married,secondary,False,10,True,False,unknown,9,may,1692,2,-1,0,unknown,True
35,33,blue-collar,divorced,primary,False,390,True,False,unknown,9,may,665,2,-1,0,unknown,True
36,32,management,single,tertiary,False,311,False,False,unknown,12,may,757,2,-1,0,unknown,True
